productDescription,userId,currency,imageUrls,videoUrls,productPrice,timestamp,productName
This is the best camera app,M1mLi8BnC8aN849h3Eyw4EmXWns1,Tshs,['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FCamera%2F1716978109513.png?alt=media&token=1e7b8a3c-d45e-4722-80f6-acc96ce52f53'],[],1200.0,2024-05-29 10:23:26.218000+00:00,Camera
This is the best computer mouse helping users to navigate from one point to another during use of computer both laptops and desktop,M1mLi8BnC8aN849h3Eyw4EmXWns1,Tshs,"['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMouse%2F1717430666431.png?alt=media&token=edc838f8-abe2-478b-9894-8d51a1bbf0c1', 'https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMouse%2F1717430671239.png?alt=media&token=aa453d47-e828-4e8f-a234-23cf6f35e483', 'https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMouse%2F1717430675376.png?alt=media&token=6c63d0e7-0ce8-47ed-b1d3-a911c7ce8682', 'https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMouse%2F1717430684665.png?alt=media&token=a28ca0f9-b189-4a0c-9a00-2820b7241386', 'https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMouse%2F1717430696229.png?alt=media&token=c2bd1604-a283-497e-8712-a70fc478d6f3']",[],35000.0,2024-06-03 16:06:52.719000+00:00,Mouse
This is the study that forcusing to improve computer user typing speed in the world,O2CUPZm1aYMfxsev7GWBzP9Gyzh1,Tshs,[],['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FTyping%2F23646595a1f52ca06503b59b439b2c8b.mp4?alt=media&token=4825f1bf-d823-4178-8455-94974ca98bd0'],8652884.0,2024-05-28 21:58:49.447000+00:00,Typing
This is the best user interface that support all kind of devices like computer and mobile phones,UVYjPKKlNnYo5xYYYkYdd8pc1F22,Tsh,['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMobile%20App%2F4fb238cb24409d9022cd7b2d93216531.jpg?alt=media&token=660f251a-440f-4ff6-96d7-3617294241d3'],[],12500.0,2024-05-28 21:53:36.778000+00:00,Mobile App
This is the mobile app and Iot designed to solve traffic problems,UVYjPKKlNnYo5xYYYkYdd8pc1F22,Tsh,['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FIOT%2F20240421_165412.jpg?alt=media&token=e58b54ed-d059-449b-9e7a-3f73a12bf8cf'],[],753000.0,2024-05-28 21:55:21.819000+00:00,IOT
This is the min/small screwdriver set that design to handle portability  due to its small in size,M1mLi8BnC8aN849h3Eyw4EmXWns1,Tshs,"['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMin%20Screwdriver%20set%2F1717354129238.png?alt=media&token=39f30bfa-0671-4eb8-abd5-08730278128b', 'https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMin%20Screwdriver%20set%2F1717354117600.png?alt=media&token=5da013a1-fc1a-4029-931e-5a538e710b86']",['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FMin%20Screwdriver%20set%2F1717354108988.mp4?alt=media&token=dc6db682-c3d1-46e6-95aa-8f1a98c94e79'],255.0,2024-06-02 19:54:49.089000+00:00,Min Screwdriver set
This is the recept i got during my eye diagnosis ,AVY2UX0fC9Xqk4oLWgH2gpm7d0e2,Tshs,['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FRecept%2F20240524_111306.jpg?alt=media&token=cf08ed09-8ed2-4492-8003-5fb9eeb10296'],[],10000.0,2024-05-28 21:40:00.970000+00:00,Recept
This is a good plastic cup made in tanzania,UVYjPKKlNnYo5xYYYkYdd8pc1F22,tshs,['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FCup%2F1717098289142.png?alt=media&token=0c109350-8039-4efd-a9da-a0fd8550bff1'],[],9000.0,2024-05-30 19:46:04.609000+00:00,Cup
it enable to program varius programing languages,M1mLi8BnC8aN849h3Eyw4EmXWns1,Tsh,['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2FComputer%2F1716978296387.png?alt=media&token=c5a9cf44-a5e2-40e7-8307-d92d022f27b3'],[],5000.0,2024-05-29 10:26:41.305000+00:00,Computer
This is the best WI-FI router that supports both 4G as well as 5G at very high speeds in transfering data as well as it allows connections to more than ten devices at a time,M1mLi8BnC8aN849h3Eyw4EmXWns1,Tshs,"['https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2F5G%20ROUTER%2F1717353851991.png?alt=media&token=c7756420-d935-45b7-8413-d8a648891a29', 'https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2F5G%20ROUTER%2F1717353862124.png?alt=media&token=7cf30d23-83b8-4b02-bfb3-64aa2148203d', 'https://firebasestorage.googleapis.com/v0/b/biashara-app-f9f86.appspot.com/o/posts%2F5G%20ROUTER%2F1717353879645.png?alt=media&token=bcef0306-42da-4a58-bf6f-49759bc2c627']",[],150000.0,2024-06-02 18:47:28.573000+00:00,5G ROUTER
